ID,文物类型,文物ID,mapping_id,关系谓词,属性值,置信度,created_at
16991,jade,2000,93,P108\text{ was produced by},良渚文化时期,0.8,2025-12-01 23:31:11
16992,jade,2000,94,P14\text{ carried out by},良渚文化工匠,0.8,2025-12-01 23:31:11
16993,jade,2000,98,P46 is composed of,矮方柱体，壁薄孔大，分二节，兽面纹上简下繁,0.8,2025-12-01 23:31:11
16994,jade,2001,91,$P43\text{ has measurement}$," | {} | {'height': 5.5, 'upper_diameter': 7.7, 'lower_diameter': 7.6, 'hole_diameter': 5.8}",0.8,2025-12-01 23:31:11
16995,jade,2001,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
16996,jade,2001,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
16997,jade,2001,87,P108i was produced by(被生产于),雕刻技法,0.8,2025-12-01 23:31:11
16998,jade,2001,90,P1\text{ is identified by},M12:7,0.8,2025-12-01 23:31:11
16999,jade,2001,99,P103 was intended for (被意图用于),礼器,0.8,2025-12-01 23:31:11
17000,jade,2001,86,P65 shows visual item(展示视觉项),简化兽面纹与繁兽面纹,0.8,2025-12-01 23:31:11
17001,jade,2002,90,P1\text{ is identified by},M12:钺,0.8,2025-12-01 23:31:11
17002,jade,2002,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17003,jade,2002,99,P103 was intended for (被意图用于),仪仗器,0.8,2025-12-01 23:31:11
17004,jade,2002,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17005,jade,2003,90,P1\text{ is identified by},M12:小琮,0.8,2025-12-01 23:31:11
17006,jade,2003,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17007,jade,2003,99,P103 was intended for (被意图用于),礼器,0.8,2025-12-01 23:31:11
17008,jade,2003,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17009,jade,2004,90,P1\text{ is identified by},M12:半圆形饰,0.8,2025-12-01 23:31:11
17010,jade,2004,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17011,jade,2004,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:11
17012,jade,2004,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17013,jade,2005,90,P1\text{ is identified by},M12:三叉形器,0.8,2025-12-01 23:31:11
17014,jade,2005,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17015,jade,2005,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:11
17016,jade,2005,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17017,jade,2006,90,P1\text{ is identified by},M12:带盖柱形饰,0.8,2025-12-01 23:31:11
17018,jade,2006,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17019,jade,2006,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:11
17020,jade,2006,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17021,jade,2007,90,P1\text{ is identified by},M12:琮式锥,0.8,2025-12-01 23:31:11
17022,jade,2007,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17023,jade,2007,99,P103 was intended for (被意图用于),礼器,0.8,2025-12-01 23:31:11
17024,jade,2007,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17025,jade,2008,90,P1\text{ is identified by},M12:琮式管,0.8,2025-12-01 23:31:11
17026,jade,2008,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17027,jade,2008,99,P103 was intended for (被意图用于),礼器,0.8,2025-12-01 23:31:11
17028,jade,2008,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17029,jade,2009,90,P1\text{ is identified by},M12:玉管,0.8,2025-12-01 23:31:11
17030,jade,2009,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17031,jade,2009,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:11
17032,jade,2009,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17033,jade,2010,90,P1\text{ is identified by},M12:玉珠,0.8,2025-12-01 23:31:11
17034,jade,2010,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17035,jade,2010,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:11
17036,jade,2010,92,P53 has former or current location,M12,0.8,2025-12-01 23:31:11
17037,jade,2011,91,$P43\text{ has measurement}$,"{} | {'length': 8.2, 'upper_diameter': 1, 'lower_diameter': 1.2}",0.8,2025-12-01 23:31:11
17038,jade,2011,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17039,jade,2011,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17040,jade,2011,87,P108i was produced by(被生产于),雕刻技法,0.8,2025-12-01 23:31:11
17041,jade,2011,90,P1\text{ is identified by},M12:12,0.8,2025-12-01 23:31:11
17042,jade,2011,99,P103 was intended for (被意图用于),装饰品,0.8,2025-12-01 23:31:11
17043,jade,2011,86,P65 shows visual item(展示视觉项),兽面纹,0.8,2025-12-01 23:31:11
17044,jade,2012,91,$P43\text{ has measurement}$,"{} | {'height': 4.5, 'diameter': 1.5, 'upper_hole_diameter': 0.8, 'lower_hole_diameter': 0.6}",0.8,2025-12-01 23:31:11
17045,jade,2012,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17046,jade,2012,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17047,jade,2012,87,P108i was produced by(被生产于),雕刻技法,0.8,2025-12-01 23:31:11
17048,jade,2012,90,P1\text{ is identified by},M12:24,0.8,2025-12-01 23:31:11
17049,jade,2012,99,P103 was intended for (被意图用于),装饰品,0.8,2025-12-01 23:31:11
17050,jade,2012,86,P65 shows visual item(展示视觉项),简化兽面纹,0.8,2025-12-01 23:31:11
17051,jade,2013,91,$P43\text{ has measurement}$,"{} | {'length': 2.5, 'diameter': 1, 'hole_diameter': 0.5}",0.8,2025-12-01 23:31:11
17052,jade,2013,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17053,jade,2013,88,P45 consists o(由...构成)f,白色带浅黄,0.8,2025-12-01 23:31:11
17054,jade,2013,87,P108i was produced by(被生产于),二端钻孔贯通，分二节，上下各相背精刻兽面纹二组,0.8,2025-12-01 23:31:11
17055,jade,2013,90,P1\text{ is identified by},M12:8,0.8,2025-12-01 23:31:11
17056,jade,2013,99,P103 was intended for (被意图用于),礼器,0.8,2025-12-01 23:31:11
17057,jade,2013,86,P65 shows visual item(展示视觉项),兽面纹,0.8,2025-12-01 23:31:11
17058,jade,2014,91,$P43\text{ has measurement}$,"{} | {'width': 7.5, 'height': 3.8, 'thickness': 0.6}",0.8,2025-12-01 23:31:11
17059,jade,2014,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17060,jade,2014,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17061,jade,2014,87,P108i was produced by(被生产于),钻孔技术,0.8,2025-12-01 23:31:11
17062,jade,2014,90,P1\text{ is identified by},M12:18,0.8,2025-12-01 23:31:11
17063,jade,2014,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:11
17064,jade,2014,86,P65 shows visual item(展示视觉项),素面,0.8,2025-12-01 23:31:11
17065,jade,2015,90,P1\text{ is identified by},M7:63,0.8,2025-12-01 23:31:11
17066,jade,2015,88,P45 consists o(由...构成)f,白玉,0.8,2025-12-01 23:31:11
17067,jade,2015,91,$P43\text{ has measurement}$,"高3.3cm, 宽5.4~7.2cm, 厚0.2~0.4cm",0.8,2025-12-01 23:31:11
17068,jade,2015,99,P103 was intended for (被意图用于),装饰或象征,0.8,2025-12-01 23:31:11
17069,jade,2015,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:11
17070,jade,2015,85,P2 has type(有类型),佩饰类,0.8,2025-12-01 23:31:11
17071,jade,2015,98,P46 is composed of,通体素面无纹，扁平体，顶端略宽，平面呈倒梯形,0.8,2025-12-01 23:31:11
17072,jade,2016,91,$P43\text{ has measurement}$,"{'height': 6, 'upper_diameter_length': 12.7, 'upper_diameter_width': 13.6, 'lower_diameter_length': 12.5, 'lower_diameter_width': 13.5, 'hole_diameter': 5.7, 'min_hole_diameter': 5.1} | {}",0.8,2025-12-01 23:31:11
17073,jade,2016,96,P7\text{ took place at},浙江省余杭县安溪瑶山,0.8,2025-12-01 23:31:11
17074,jade,2016,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17075,jade,2016,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17076,jade,2016,89,P44 has condition(有状态),带有黄色筋络和斑纹,0.8,2025-12-01 23:31:11
17077,jade,2016,87,P108i was produced by(被生产于),浅浮雕技法刻出眼睑、额、鼻，用线刻卷云纹作底，重圈为睛,0.8,2025-12-01 23:31:11
17078,jade,2016,97,P106\text{ was found by},1987年抢救性发掘,0.8,2025-12-01 23:31:11
17079,jade,2016,90,P1\text{ is identified by},M12:3,0.8,2025-12-01 23:31:11
17080,jade,2016,99,P103 was intended for (被意图用于),礼器,0.8,2025-12-01 23:31:11
17081,jade,2016,86,P65 shows visual item(展示视觉项),简化兽面纹和繁兽面图像,0.8,2025-12-01 23:31:11
17082,jade,2016,95,P4\text{ has time-span},良渚文化第二期偏早阶段,0.8,2025-12-01 23:31:11
17083,jade,2016,93,P108\text{ was produced by},良渚文化时期,0.8,2025-12-01 23:31:11
17084,jade,2016,94,P14\text{ carried out by},良渚文化工匠,0.8,2025-12-01 23:31:11
17085,jade,2016,98,P46 is composed of,矮方柱，上下分为二节，上节四角雕刻四组简化兽面纹，下节四角精雕繁兽面图像,0.8,2025-12-01 23:31:11
17086,jade,2017,91,$P43\text{ has measurement}$,"{'height': 7.8, 'upper_diameter_length': 8.8, 'upper_diameter_width': 8.8, 'lower_diameter_length': 8.2, 'lower_diameter_width': 8.5, 'hole_diameter': 6.5} | {'height': 7.8, 'upper_diameter': 8.8, 'hole_diameter': 6.5, 'lower_diameter': '8.2×8.5'}",0.8,2025-12-01 23:31:11
17087,jade,2017,96,P7\text{ took place at},浙江省余杭县安溪瑶山,0.8,2025-12-01 23:31:11
17088,jade,2017,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17089,jade,2017,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17090,jade,2017,89,P44 has condition(有状态),带浅黄斑筋,0.8,2025-12-01 23:31:11
17091,jade,2017,87,P108i was produced by(被生产于),刻简化兽面纹,0.8,2025-12-01 23:31:11
17092,jade,2017,97,P106\text{ was found by},1987年抢救性发掘,0.8,2025-12-01 23:31:11
17093,jade,2017,90,P1\text{ is identified by},M12:6,0.8,2025-12-01 23:31:11
17094,jade,2017,99,P103 was intended for (被意图用于),礼器,0.8,2025-12-01 23:31:11
17095,jade,2017,86,P65 shows visual item(展示视觉项),简化兽面纹,0.8,2025-12-01 23:31:11
17096,jade,2017,95,P4\text{ has time-span},良渚文化第二期偏早阶段,0.8,2025-12-01 23:31:11
17097,jade,2017,93,P108\text{ was produced by},良渚文化时期,0.8,2025-12-01 23:31:11
17098,jade,2017,94,P14\text{ carried out by},良渚文化工匠,0.8,2025-12-01 23:31:11
17099,jade,2017,98,P46 is composed of,矮方柱体，壁薄孔大，分二节，上下四角均刻简化兽面纹8组,0.8,2025-12-01 23:31:11
17100,jade,2018,91,$P43\text{ has measurement}$,"{'height': 7.4, 'upper_diameter_length': 7.9, 'upper_diameter_width': 7.9, 'lower_diameter_length': 7.7, 'lower_diameter_width': 7.7, 'hole_diameter_upper': 6.2, 'hole_diameter_lower': 6.1} | {'height': 7.4, 'upper_diameter': 7.9, 'lower_diameter': 7.7, 'upper_hole_diameter': 6.2, 'lower_hole_diameter': 6.1}",0.8,2025-12-01 23:31:11
17101,jade,2018,96,P7\text{ took place at},浙江省余杭县安溪瑶山,0.8,2025-12-01 23:31:11
17102,jade,2018,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17103,jade,2018,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17104,jade,2018,89,P44 has condition(有状态),带浅黄斑筋,0.8,2025-12-01 23:31:11
17105,jade,2018,87,P108i was produced by(被生产于),刻简化兽面纹和繁兽面图像,0.8,2025-12-01 23:31:11
17106,jade,2018,97,P106\text{ was found by},1987年抢救性发掘,0.8,2025-12-01 23:31:11
17107,jade,2018,90,P1\text{ is identified by},M12:5,0.8,2025-12-01 23:31:11
17108,jade,2018,99,P103 was intended for (被意图用于),礼器,0.8,2025-12-01 23:31:11
17109,jade,2018,86,P65 shows visual item(展示视觉项),简化兽面纹和繁兽面图像,0.8,2025-12-01 23:31:11
17110,jade,2018,95,P4\text{ has time-span},良渚文化第二期偏早阶段,0.8,2025-12-01 23:31:11
17111,jade,2018,93,P108\text{ was produced by},良渚文化时期,0.8,2025-12-01 23:31:11
17112,jade,2018,94,P14\text{ carried out by},良渚文化工匠,0.8,2025-12-01 23:31:11
17113,jade,2018,98,P46 is composed of,矮方柱体，壁薄孔大，分二节，上节刻简化兽面纹，下节刻繁兽面图像,0.8,2025-12-01 23:31:11
17114,jade,2019,90,P1\text{ is identified by},M12:9,0.8,2025-12-01 23:31:11
17115,jade,2019,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17116,jade,2019,91,$P43\text{ has measurement}$,"{'length': 14.8, 'back_width': 8.9, 'blade_width': 11, 'thickness': 1, 'hole_diameter': 1.3}",0.8,2025-12-01 23:31:11
17117,jade,2019,87,P108i was produced by(被生产于),切割与成型、钻孔技术、打磨抛光,0.8,2025-12-01 23:31:11
17118,jade,2019,86,P65 shows visual item(展示视觉项),素面,0.8,2025-12-01 23:31:11
17119,jade,2019,99,P103 was intended for (被意图用于),仪仗器,0.8,2025-12-01 23:31:11
17120,jade,2019,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17121,jade,2020,90,P1\text{ is identified by},M12:10,0.8,2025-12-01 23:31:11
17122,jade,2020,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17123,jade,2020,91,$P43\text{ has measurement}$,"{'height': 4.6, 'wall_thickness': 0.6, 'upper_diameter': 9.8, 'bottom_diameter': 12.4}",0.8,2025-12-01 23:31:11
17124,jade,2020,87,P108i was produced by(被生产于),打磨抛光,0.8,2025-12-01 23:31:11
17125,jade,2020,86,P65 shows visual item(展示视觉项),素面,0.8,2025-12-01 23:31:11
17126,jade,2020,99,P103 was intended for (被意图用于),装饰品,0.8,2025-12-01 23:31:11
17127,jade,2020,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17128,jade,2021,90,P1\text{ is identified by},M12:11,0.8,2025-12-01 23:31:11
17129,jade,2021,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17130,jade,2021,91,$P43\text{ has measurement}$,"{'height': 3, 'top_diameter': 3.9, 'hole_diameter': 2.3, 'bottom_diameter': 2.9}",0.8,2025-12-01 23:31:11
17131,jade,2021,86,P65 shows visual item(展示视觉项),素面,0.8,2025-12-01 23:31:11
17132,jade,2021,99,P103 was intended for (被意图用于),装饰品,0.8,2025-12-01 23:31:11
17133,jade,2021,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17134,jade,2022,90,P1\text{ is identified by},M12:15,0.8,2025-12-01 23:31:11
17135,jade,2022,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17136,jade,2022,91,$P43\text{ has measurement}$,"{'length': 14.3, 'handle_upper_width': 3.2, 'handle_lower_width': 3, 'handle_height': 2.8, 'handle_thickness': 0.5, 'blade_width': '3.2~2.5'}",0.8,2025-12-01 23:31:11
17137,jade,2022,87,P108i was produced by(被生产于),雕刻技法,0.8,2025-12-01 23:31:11
17138,jade,2022,86,P65 shows visual item(展示视觉项),卷云纹,0.8,2025-12-01 23:31:11
17139,jade,2022,99,P103 was intended for (被意图用于),餐具,0.8,2025-12-01 23:31:11
17140,jade,2022,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17141,jade,2023,91,$P43\text{ has measurement}$,"{'length': 8, 'handle_upper_width': 3.5, 'handle_lower_width': 2.7, 'handle_height': 3.9, 'handle_thickness': 0.4, 'neck_thickness': 0.6} | {}",0.8,2025-12-01 23:31:11
17142,jade,2023,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17143,jade,2023,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17144,jade,2023,87,P108i was produced by(被生产于),雕刻技法,0.8,2025-12-01 23:31:11
17145,jade,2023,90,P1\text{ is identified by},M12:14,0.8,2025-12-01 23:31:11
17146,jade,2023,99,P103 was intended for (被意图用于),餐具,0.8,2025-12-01 23:31:11
17147,jade,2023,86,P65 shows visual item(展示视觉项),兽面纹与云纹,0.8,2025-12-01 23:31:11
17148,jade,2024,91,$P43\text{ has measurement}$,"{'width': 6.3, 'height': 5.4, 'thickness': 1.1} | {}",0.8,2025-12-01 23:31:11
17149,jade,2024,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17150,jade,2024,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17151,jade,2024,87,P108i was produced by(被生产于),钻孔技术,0.8,2025-12-01 23:31:11
17152,jade,2024,90,P1\text{ is identified by},M12:13,0.8,2025-12-01 23:31:11
17153,jade,2024,99,P103 was intended for (被意图用于),冠饰,0.8,2025-12-01 23:31:11
17154,jade,2025,90,P1\text{ is identified by},M12:16,0.8,2025-12-01 23:31:11
17155,jade,2025,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17156,jade,2025,91,$P43\text{ has measurement}$,"{'length': 9.4, 'width': 1.1}",0.8,2025-12-01 23:31:11
17157,jade,2025,87,P108i was produced by(被生产于),雕刻技法、钻孔技术,0.8,2025-12-01 23:31:11
17158,jade,2025,86,P65 shows visual item(展示视觉项),兽面纹,0.8,2025-12-01 23:31:11
17159,jade,2025,99,P103 was intended for (被意图用于),装饰品,0.8,2025-12-01 23:31:11
17160,jade,2025,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17161,jade,2026,90,P1\text{ is identified by},M12:17,0.8,2025-12-01 23:31:11
17162,jade,2026,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17163,jade,2026,91,$P43\text{ has measurement}$,"{'length': 8.3, 'width': 1}",0.8,2025-12-01 23:31:11
17164,jade,2026,87,P108i was produced by(被生产于),雕刻技法、钻孔技术,0.8,2025-12-01 23:31:11
17165,jade,2026,86,P65 shows visual item(展示视觉项),兽面纹,0.8,2025-12-01 23:31:11
17166,jade,2026,99,P103 was intended for (被意图用于),装饰品,0.8,2025-12-01 23:31:11
17167,jade,2026,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17168,jade,2027,90,P1\text{ is identified by},M12:19,0.8,2025-12-01 23:31:11
17169,jade,2027,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:11
17170,jade,2027,91,$P43\text{ has measurement}$,"{'length': 8.2, 'width': 1.1}",0.8,2025-12-01 23:31:11
17171,jade,2027,87,P108i was produced by(被生产于),雕刻技法、钻孔技术,0.8,2025-12-01 23:31:11
17172,jade,2027,86,P65 shows visual item(展示视觉项),兽面纹,0.8,2025-12-01 23:31:11
17173,jade,2027,99,P103 was intended for (被意图用于),装饰品,0.8,2025-12-01 23:31:11
17174,jade,2027,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17175,jade,2028,90,P1\text{ is identified by},M12:32,0.8,2025-12-01 23:31:11
17176,jade,2028,88,P45 consists o(由...构成)f,白色玉,0.8,2025-12-01 23:31:11
17177,jade,2028,91,$P43\text{ has measurement}$,"{'height': 3.2, 'diameter': 4.2, 'hole_diameter': 2}",0.8,2025-12-01 23:31:11
17178,jade,2028,87,P108i was produced by(被生产于),柱体中间一侧有一道长5.5厘米的线割横痕,0.8,2025-12-01 23:31:11
17179,jade,2028,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:11
17180,jade,2028,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17181,jade,2029,90,P1\text{ is identified by},M12:36,0.8,2025-12-01 23:31:11
17182,jade,2029,88,P45 consists o(由...构成)f,白玉带黄褐斑,0.8,2025-12-01 23:31:11
17183,jade,2029,91,$P43\text{ has measurement}$,"{'length': 8.5, 'diameter': 2.1, 'hole_diameter': 0.9}",0.8,2025-12-01 23:31:11
17184,jade,2029,87,P108i was produced by(被生产于),二端对钻贯通,0.8,2025-12-01 23:31:11
17185,jade,2029,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:11
17186,jade,2029,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17187,jade,2030,90,P1\text{ is identified by},M12:38,0.8,2025-12-01 23:31:11
17188,jade,2030,88,P45 consists o(由...构成)f,白色玉,0.8,2025-12-01 23:31:11
17189,jade,2030,91,$P43\text{ has measurement}$,"{'height': 1.1, 'diameter': 1.6}",0.8,2025-12-01 23:31:11
17190,jade,2030,87,P108i was produced by(被生产于),斜向对钻隧孔一对,0.8,2025-12-01 23:31:11
17191,jade,2030,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:11
17192,jade,2030,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17193,jade,2031,90,P1\text{ is identified by},M12:42,0.8,2025-12-01 23:31:11
17194,jade,2031,88,P45 consists o(由...构成)f,白色玉,0.8,2025-12-01 23:31:11
17195,jade,2031,91,$P43\text{ has measurement}$,"{'length': 2.7, 'diameter': 1}",0.8,2025-12-01 23:31:11
17196,jade,2031,87,P108i was produced by(被生产于),二端对钻一孔贯通,0.8,2025-12-01 23:31:11
17197,jade,2031,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:11
17198,jade,2031,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17199,jade,2032,90,P1\text{ is identified by},M12:43,0.8,2025-12-01 23:31:11
17200,jade,2032,88,P45 consists o(由...构成)f,白色玉,0.8,2025-12-01 23:31:11
17201,jade,2032,91,$P43\text{ has measurement}$,"{'length': 1.6, 'diameter': 0.8}",0.8,2025-12-01 23:31:11
17202,jade,2032,87,P108i was produced by(被生产于),二端对钻一孔贯通,0.8,2025-12-01 23:31:11
17203,jade,2032,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:11
17204,jade,2032,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17205,jade,2033,90,P1\text{ is identified by},M12:45,0.8,2025-12-01 23:31:11
17206,jade,2033,88,P45 consists o(由...构成)f,白色玉,0.8,2025-12-01 23:31:11
17207,jade,2033,91,$P43\text{ has measurement}$,"{'length': 1.6, 'width': 0.7, 'thickness': 0.5}",0.8,2025-12-01 23:31:11
17208,jade,2033,87,P108i was produced by(被生产于),通体磨光,0.8,2025-12-01 23:31:11
17209,jade,2033,99,P103 was intended for (被意图用于),镶嵌,0.8,2025-12-01 23:31:11
17210,jade,2033,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17211,jade,2034,90,P1\text{ is identified by},M12:20,0.8,2025-12-01 23:31:11
17212,jade,2034,91,$P43\text{ has measurement}$,"{'length': 11.1, 'width': 1.1}",0.8,2025-12-01 23:31:11
17213,jade,2034,87,P108i was produced by(被生产于),偏下宽处刻出二节简化兽面纹,0.8,2025-12-01 23:31:11
17214,jade,2034,86,P65 shows visual item(展示视觉项),简化兽面纹,0.8,2025-12-01 23:31:11
17215,jade,2034,99,P103 was intended for (被意图用于),兵器仪仗,0.8,2025-12-01 23:31:11
17216,jade,2034,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17217,jade,2035,90,P1\text{ is identified by},M12:21,0.8,2025-12-01 23:31:11
17218,jade,2035,91,$P43\text{ has measurement}$,"{'length': 9, 'width': 1.1}",0.8,2025-12-01 23:31:11
17219,jade,2035,99,P103 was intended for (被意图用于),兵器仪仗,0.8,2025-12-01 23:31:11
17220,jade,2035,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17221,jade,2036,90,P1\text{ is identified by},M12:22,0.8,2025-12-01 23:31:11
17222,jade,2036,91,$P43\text{ has measurement}$,"{'length': 7.5, 'width': 1}",0.8,2025-12-01 23:31:11
17223,jade,2036,99,P103 was intended for (被意图用于),兵器仪仗,0.8,2025-12-01 23:31:11
17224,jade,2036,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17225,jade,2037,90,P1\text{ is identified by},M12:23,0.8,2025-12-01 23:31:11
17226,jade,2037,91,$P43\text{ has measurement}$,"{'length': 4.2, 'width': 0.8}",0.8,2025-12-01 23:31:11
17227,jade,2037,87,P108i was produced by(被生产于),偏下宽处刻出二节简化兽面纹,0.8,2025-12-01 23:31:11
17228,jade,2037,86,P65 shows visual item(展示视觉项),简化兽面纹,0.8,2025-12-01 23:31:11
17229,jade,2037,99,P103 was intended for (被意图用于),兵器仪仗,0.8,2025-12-01 23:31:11
17230,jade,2037,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17231,jade,2038,90,P1\text{ is identified by},M12:25,0.8,2025-12-01 23:31:11
17232,jade,2038,91,$P43\text{ has measurement}$,"{'length': 6.7, 'width': 0.8}",0.8,2025-12-01 23:31:11
17233,jade,2038,87,P108i was produced by(被生产于),刻出三节简化兽面纹,0.8,2025-12-01 23:31:11
17234,jade,2038,86,P65 shows visual item(展示视觉项),简化兽面纹,0.8,2025-12-01 23:31:11
17235,jade,2038,99,P103 was intended for (被意图用于),兵器仪仗,0.8,2025-12-01 23:31:11
17236,jade,2038,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17237,jade,2039,90,P1\text{ is identified by},M12:26(1),0.8,2025-12-01 23:31:11
17238,jade,2039,91,$P43\text{ has measurement}$,"{'length': 7.9, 'width': 0.8}",0.8,2025-12-01 23:31:11
17239,jade,2039,87,P108i was produced by(被生产于),刻二节简化兽面纹,0.8,2025-12-01 23:31:11
17240,jade,2039,86,P65 shows visual item(展示视觉项),简化兽面纹,0.8,2025-12-01 23:31:11
17241,jade,2039,99,P103 was intended for (被意图用于),兵器仪仗,0.8,2025-12-01 23:31:11
17242,jade,2039,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17243,jade,2040,90,P1\text{ is identified by},M12:26(2),0.8,2025-12-01 23:31:11
17244,jade,2040,88,P45 consists o(由...构成)f,白色玉,0.8,2025-12-01 23:31:11
17245,jade,2040,91,$P43\text{ has measurement}$,"{'length': 2.7, 'width': 0.9}",0.8,2025-12-01 23:31:11
17246,jade,2040,87,P108i was produced by(被生产于),椁部对钻一小孔，近椁处四角刻一节简化兽面纹,0.8,2025-12-01 23:31:11
17247,jade,2040,86,P65 shows visual item(展示视觉项),简化兽面纹,0.8,2025-12-01 23:31:11
17248,jade,2040,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:11
17249,jade,2040,92,P53 has former or current location,瑶山遗址M12,0.8,2025-12-01 23:31:11
17250,jade,2041,90,P1\text{ is identified by},M12:27,0.8,2025-12-01 23:31:11
